context - question - answer
Whilst this is the consensus viewpoint amongst the majority of academics, some teachers and parents advocate a more assertive and confrontational style of discipline.[citation needed] Such individuals claim that many problems with modern schooling stem from the   weakness in school discipline   and if teachers exercised firm control over the classroom they would be able to teach more efficiently. This viewpoint is supported by the educational attainment of countries—in East Asia for instance—that combine strict discipline with high standards of education.[citation needed] ### Answer: weakness in school discipline  - What do critics think the cause of problems with modern schooling is? - weakness in school discipline
Perhaps the most significant difference between primary school and secondary school teaching is   the relationship between teachers and children  . In primary schools each class has a teacher who stays with them for most of the week and will teach them the whole curriculum. In secondary schools they will be taught by different subject specialists each session during the week and may have ten or more different teachers. The relationship between children and their teachers tends to be closer in the primary school where they act as form tutor, specialist teacher and surrogate parent during the course of the day. ### Answer: the relationship between teachers and children  - What's the biggest difference in the teaching relationship for primary and secondary school? - the relationship between teachers and children
Before the actual research explicitly devoted to the complexity of algorithmic problems started off, numerous foundations were laid out by various researchers. Most influential among these was the definition of Turing machines by   Alan Turing   in 1936, which turned out to be a very robust and flexible simplification of a computer. ### Answer: Alan Turing  - Who was the most influential researcher among those grappling with the deficit of work surrounding the complexity posed by algorithmic problems? - Alan Turing
In education, teachers facilitate student learning, often in a school or   academy   or perhaps in another environment such as outdoors. A teacher who teaches on an individual basis may be described as a tutor. ### Answer: academy  - Where is another indoor location for a teacher other than a school? - academy
The legendary religious zeal of the Normans was exercised in religious wars long before the First Crusade carved out a Norman principality in Antioch. They were major foreign participants in the Reconquista in Iberia. In   1018  , Roger de Tosny travelled to the Iberian Peninsula to carve out a state for himself from Moorish lands, but failed. In 1064, during the War of Barbastro, William of Montreuil led the papal army and took a huge booty. ### Answer: 1018  - What year did Roger de Tosny fail to accomplish what he set out to do? - 1018
Near the end of his life, Tesla walked to the park every day to feed the pigeons and even brought injured ones into his   hotel room   to nurse back to health. He said that he had been visited by a specific injured white pigeon daily. Tesla spent over $2,000, including building a device that comfortably supported her so her bones could heal, to fix her broken wing and leg. Tesla stated, ### Answer: hotel room  - To what place did he bring the injured pigeons to take care of them? - hotel room
What intractability means in practice is open to debate. Saying that a problem is not in P does not imply that all large cases of the problem are hard or even that most of them are. For example, the decision problem in Presburger arithmetic has been shown not to be in P, yet algorithms have been written that solve the problem in reasonable times in most cases. Similarly, algorithms can solve the NP-complete knapsack problem over a wide range of sizes   in less than quadratic time   and SAT solvers routinely handle large instances of the NP-complete Boolean satisfiability problem. ### Answer: in less than quadratic time  - How quickly can an algorithm solve an NP-complete knapsack problem? - in less than quadratic time
In December 1878, Tesla left Graz and severed all relations with his family to hide the fact that he dropped out of school. His friends thought that he had drowned in the Mur River. Tesla went to Maribor (now in Slovenia), where he worked as   a draftsman   for 60 florins a month. He spent his spare time playing cards with local men on the streets. In March 1879, Milutin Tesla went to Maribor to beg his son to return home, but Nikola refused. Nikola suffered a nervous breakdown at around the same time. ### Answer: a draftsman  - What did Tesla work as after dropping out?  - a draftsman
Bethencourt took the title of King of the Canary Islands, as vassal to Henry III of Castile. In 1418, Jean's nephew Maciot de Bethencourt sold the rights to the islands to   Enrique Pérez de Guzmán  , 2nd Count de Niebla. ### Answer: Enrique Pérez de Guzmán  - Who bought the rights? - Enrique Pérez de Guzmán
This motivates the concept of a problem being hard for a complexity class. A problem X is hard for a class of problems C   if every problem in C can be reduced to X  . Thus no problem in C is harder than X, since an algorithm for X allows us to solve any problem in C. Of course, the notion of hard problems depends on the type of reduction being used. For complexity classes larger than P, polynomial-time reductions are commonly used. In particular, the set of problems that are hard for NP is the set of NP-hard problems. ### Answer: if every problem in C can be reduced to X  - What would create a conflict between a problem X and problem C within the context of reduction?  - if every problem in C can be reduced to X
Tesla could be harsh at times and openly expressed disgust for overweight people, such as when he fired a   secretary   because of her weight.:110 He was quick to criticize clothing; on several occasions, Tesla directed a subordinate to go home and change her dress.:33 ### Answer: secretary  - Who did he fire? - secretary
A modern example of school discipline in North America and Western Europe relies upon the idea of an assertive teacher who is prepared to impose their will upon a class. Positive reinforcement is balanced with   immediate and fair punishment for misbehavior   and firm, clear boundaries define what is appropriate and inappropriate behavior. Teachers are expected to respect their students; sarcasm and attempts to humiliate pupils are seen as falling outside of what constitutes reasonable discipline.[verification needed] ### Answer: immediate and fair punishment for misbehavior  - What is the balance for positive reinforcement? - immediate and fair punishment for misbehavior
Tesla worked every day from 9:00 a.m. until 6:00 p.m. or later, with dinner from exactly   8:10 p.m  ., at Delmonico's restaurant and later the Waldorf-Astoria Hotel. Tesla would telephone his dinner order to the headwaiter, who also could be the only one to serve him. "The meal was required to be ready at eight o'clock ... He dined alone, except on the rare occasions when he would give a dinner to a group to meet his social obligations. Tesla would then resume his work, often until 3:00 a.m.":283, 286 ### Answer: 8:10 p.m  - At what time did Tesla get dinner? - 8:10 p.m
Since teachers can affect how students perceive the course materials, it has been found that teachers who showed   enthusiasm   towards the course materials and students can affect a positive learning experience towards the course materials. On teacher/course evaluations, it was found that teachers who have a positive disposition towards the course content tend to transfer their passion to receptive students. These teachers do not teach by rote but attempt to find new invigoration for the course materials on a daily basis. One of the difficulties in this approach is that teachers may have repeatedly covered a curriculum until they begin to feel bored with the subject which in turn bores the students as well. Students who had enthusiastic teachers tend to rate them higher than teachers who didn't show much enthusiasm for the course materials. ### Answer: enthusiasm  - What must a teacher show towards the course materials for increase learning? - enthusiasm
In 1881, Tesla moved to   Budapest   to work under Ferenc Puskás at a telegraph company, the Budapest Telephone Exchange. Upon arrival, Tesla realized that the company, then under construction, was not functional, so he worked as a draftsman in the Central Telegraph Office instead. Within a few months, the Budapest Telephone Exchange became functional and Tesla was allocated the chief electrician position. During his employment, Tesla made many improvements to the Central Station equipment and claimed to have perfected a telephone repeater or amplifier, which was never patented nor publicly described. ### Answer: Budapest  - Where did Tesla move in 1881? - Budapest
Later in life, Tesla made claims concerning a "teleforce" weapon after studying the Van de Graaff generator. The press variably referred to it as a "peace ray" or death ray. Tesla described the weapon as capable of being used against ground-based   infantry   or for anti-aircraft purposes. ### Answer: infantry  - What ground based group did Tesla think the weapon could be used on? - infantry
